除權息日期,代號,名稱,除權息前收盤價,除權息參考價,權值,息值,權值+息值,權/息,漲停價,跌停價,開始交易基準價,減除股利參考價,現金股利,每仟股無償配股,現金增資股數,現金增資認購價,公開承銷股數,員工認購股數,原股東認購股數,按持股比例仟股認購
113/06/27,8240,華宏              ,37.20,35.70,0.000000,1.500000,1.500000,除息,39.25,32.15,35.70,35.70,1.50000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/27,8279,生展              ,160.00,155.00,0.000000,5.000000,5.000000,除息,170.50,139.50,155.00,155.00,5.00000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/27,8342,益張              ,84.80,81.00,0.000000,3.800000,3.800000,除息,89.10,72.90,81.00,81.00,3.80000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/27,8431,匯鑽科             ,56.10,55.80,0.000000,0.300000,0.300000,除息,61.30,50.30,55.80,55.80,0.30000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/27,8921,沈氏              ,18.75,18.42,0.000000,0.333000,0.333000,除息,20.25,16.60,18.40,18.42,0.33300000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/28,3264,欣銓              ,73.10,69.80,0.000000,3.300000,3.300000,除息,76.70,62.90,69.80,69.80,3.30000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/28,3388,崇越電             ,77.40,74.30,0.000000,3.100000,3.100000,除息,81.70,66.90,74.30,74.30,3.10000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/28,3455,由田              ,107.00,102.00,0.000000,5.000000,5.000000,除息,112.00,91.80,102.00,102.00,5.00000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/28,3489,森寶              ,27.65,27.25,0.000000,0.400000,0.400000,除息,29.95,24.55,27.25,27.25,0.40000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/28,5236,凌陽創新            ,160.50,153.50,0.000000,7.000000,7.000000,除息,168.50,138.50,153.50,153.50,7.00000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/28,6212,理銘              ,77.20,73.70,0.000000,3.500000,3.500000,除息,81.00,66.40,73.70,73.70,3.50000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/28,8091,翔名              ,162.00,157.72,4.275957,0.000000,4.275957,除權,178.00,142.00,162.00,162.00,0.00000000,0.00000000,4800000,115.00,480000,480000,3840000,80.06653195
113/06/28,8942,森鉅              ,74.40,66.33,5.969724,2.100000,8.069724,除權息,72.90,59.70,66.30,66.33,2.10000000,89.99999496,0,0.00,0,0,0,0.00000000
113/07/01,3373,熱映              ,27.00,26.00,0.000000,1.000000,1.000000,除息,28.60,23.40,26.00,26.00,1.00000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/01,4188,安克              ,27.60,26.87,0.726487,0.000000,0.726487,除權,30.35,24.20,27.60,27.60,0.00000000,0.00000000,10000000,23.00,1000000,1000000,8000000,150.04201176
113/07/01,4550,長佳              ,39.40,37.30,0.000000,2.100000,2.100000,除息,41.00,33.60,37.30,37.30,2.10000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/01,5230,雷笛克光學           ,42.35,41.83,0.000000,0.516822,0.516822,除息,46.00,37.65,41.85,41.83,0.51682237,0.00000000,0,0.00,0,0,0,0.00000000
113/07/01,5315,光聯              ,19.05,18.25,0.000000,0.800000,0.800000,除息,20.05,16.45,18.25,18.25,0.80000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/01,5353,台林              ,35.75,34.33,0.000000,1.420000,1.420000,除息,37.75,30.90,34.35,34.33,1.42000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/01,6109,亞元              ,13.90,13.60,0.000000,0.300000,0.300000,除息,14.95,12.25,13.60,13.60,0.29999999,0.00000000,0,0.00,0,0,0,0.00000000
113/07/01,6561,是方              ,361.00,350.40,0.000000,10.600000,10.600000,除息,385.00,315.50,350.50,350.40,10.60000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/01,6903,巨漢              ,192.50,183.23,0.000000,9.270502,9.270502,除息,201.50,165.00,183.00,183.23,9.27050212,0.00000000,0,0.00,0,0,0,0.00000000
113/07/01,8155,博智              ,144.00,140.40,0.000000,3.600000,3.600000,除息,154.00,126.50,140.50,140.40,3.60000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/01,8440,綠電              ,57.00,49.57,7.434783,0.000000,7.434783,除權,54.50,44.65,49.55,49.57,0.00000000,150.00000658,0,0.00,0,0,0,0.00000000
113/07/02,2755,揚秦              ,98.40,94.80,0.000000,3.600000,3.600000,除息,104.00,85.40,94.80,94.80,3.60000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/02,3512,皇龍              ,43.65,40.44,0.000000,3.205691,3.205691,除息,44.45,36.40,40.45,40.44,3.20569069,0.00000000,0,0.00,0,0,0,0.00000000
113/07/02,4711,永純              ,17.15,16.65,0.000000,0.500000,0.500000,除息,18.30,15.00,16.65,16.65,0.50000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/02,5016,松和              ,28.40,27.70,0.000000,0.700000,0.700000,除息,30.45,24.95,27.70,27.70,0.70000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/02,6263,普萊德             ,178.50,171.10,0.000000,7.400000,7.400000,除息,188.00,154.00,171.00,171.10,7.40000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/02,6542,隆中              ,60.10,59.10,0.000000,1.000000,1.000000,除息,65.00,53.20,59.10,59.10,1.00000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/02,6593,台灣銘板            ,102.50,101.50,0.000000,1.000000,1.000000,除息,111.50,91.40,101.50,101.50,1.00000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/02,6693,廣閎科             ,75.40,74.40,0.000000,1.000000,1.000000,除息,81.80,67.00,74.40,74.40,1.00000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/02,7402,邑錡              ,107.50,106.01,0.000000,1.485198,1.485198,除息,116.50,95.50,106.00,106.01,1.48519767,0.00000000,0,0.00,0,0,0,0.00000000
113/07/02,8054,安國              ,154.50,154.00,0.000000,0.499707,0.499707,除息,169.00,139.00,154.00,154.00,0.49970721,0.00000000,0,0.00,0,0,0,0.00000000
113/07/02,8083,瑞穎              ,177.00,170.00,0.000000,7.000000,7.000000,除息,187.00,153.00,170.00,170.00,7.00000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/02,8111,立碁              ,23.70,22.90,0.000000,0.800000,0.800000,除息,25.15,20.65,22.90,22.90,0.80000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/03,2941,米斯特             ,90.00,86.82,0.000000,3.181611,3.181611,除息,95.50,78.20,86.80,86.82,3.18161143,0.00000000,0,0.00,0,0,0,0.00000000
113/07/03,3276,宇環              ,17.80,17.60,0.000000,0.200000,0.200000,除息,19.35,15.85,17.60,17.60,0.20000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/03,4126,太醫              ,93.20,88.40,0.000000,4.800000,4.800000,除息,97.20,79.60,88.40,88.40,4.80000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/03,4442,竣邦-KY           ,29.70,28.90,0.000000,0.800000,0.800000,除息,31.75,26.05,28.90,28.90,0.80000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/03,4510,高鋒              ,16.90,16.20,0.000000,0.700000,0.700000,除息,17.80,14.60,16.20,16.20,0.70000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/03,4542,科嶠              ,77.00,75.50,0.000000,1.500000,1.500000,除息,83.00,68.00,75.50,75.50,1.50000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/03,4706,大恭              ,30.00,29.80,0.000000,0.200000,0.200000,除息,32.75,26.85,29.80,29.80,0.20000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/03,6615,慧智              ,71.70,71.50,0.000000,0.200000,0.200000,除息,78.60,64.40,71.50,71.50,0.20000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/03,6624,萬年清             ,40.40,39.40,0.000000,1.000000,1.000000,除息,43.30,35.50,39.40,39.40,1.00000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/03,6716,應廣              ,123.50,121.50,0.000000,2.001315,2.001315,除息,133.50,109.50,121.50,121.50,2.00131495,0.00000000,0,0.00,0,0,0,0.00000000
113/07/03,8923,時報              ,20.80,20.00,0.000000,0.800000,0.800000,除息,22.00,18.00,20.00,20.00,0.80000000,0.00000000,0,0.00,0,0,0,0.00000000
