除權息日期,代號,名稱,除權息前收盤價,除權息參考價,權值,息值,權值+息值,權/息,漲停價,跌停價,開始交易基準價,減除股利參考價,現金股利,每仟股無償配股,現金增資股數,現金增資認購價,公開承銷股數,員工認購股數,原股東認購股數,按持股比例仟股認購
113/06/17,8432,東生華             ,63.50,62.22,0.000000,1.280000,1.280000,除息,68.40,56.00,62.20,62.22,1.28000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/18,00942B,台新美A公司債20+      ,15.81,15.71,0.000000,0.100000,0.100000,除息,9999.95,0.01,15.71,15.71,0.10000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/18,3118,進階              ,36.10,34.40,0.000000,1.700000,1.700000,除息,37.80,31.00,34.40,34.40,1.70000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/18,4527,方土霖             ,46.95,44.55,0.000000,2.400000,2.400000,除息,49.00,40.10,44.55,44.55,2.40000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/18,4974,亞泰              ,73.60,69.40,0.000000,4.200000,4.200000,除息,76.30,62.50,69.40,69.40,4.20000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/18,6125,廣運              ,110.50,109.71,0.791472,0.000000,0.791472,除權,121.50,98.80,110.50,110.50,0.00000000,0.00000000,10000000,90.00,1000000,1000000,8000000,32.12707543
113/06/18,6154,順發              ,17.10,16.38,0.000000,0.720000,0.720000,除息,18.00,14.75,16.40,16.38,0.72000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/18,6494,九齊              ,72.00,70.38,0.000000,1.620000,1.620000,除息,77.40,63.40,70.40,70.38,1.62000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/18,6530,創威              ,48.70,47.50,0.000000,1.200000,1.200000,除息,52.20,42.75,47.50,47.50,1.20000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/18,6568,宏觀              ,147.00,145.18,0.000000,1.817287,1.817287,除息,159.50,131.00,145.00,145.18,1.81728749,0.00000000,0,0.00,0,0,0,0.00000000
113/06/18,8416,實威              ,185.00,177.00,0.000000,8.000000,8.000000,除息,194.50,159.50,177.00,177.00,8.00000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/19,4153,鈺緯              ,43.10,41.85,0.000000,1.250000,1.250000,除息,46.00,37.70,41.85,41.85,1.25000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/19,4433,興采              ,29.70,28.70,0.000000,1.000000,1.000000,除息,31.55,25.85,28.70,28.70,1.00000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/19,8066,來思達             ,30.05,29.05,0.000000,1.000000,1.000000,除息,31.95,26.15,29.05,29.05,1.00000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/20,00687B,國泰20年美債         ,31.90,31.56,0.000000,0.340000,0.340000,除息,9999.95,0.01,31.56,31.56,0.34000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/20,00697B,元大美債7-10        ,36.38,36.10,0.000000,0.280000,0.280000,除息,9999.95,0.01,36.10,36.10,0.28000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/20,00751B,元大AAA至A公司債      ,35.32,34.85,0.000000,0.470000,0.470000,除息,9999.95,0.01,34.85,34.85,0.47000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/20,00772B,中信高評級公司債        ,36.27,36.13,0.000000,0.137000,0.137000,除息,9999.95,0.01,36.13,36.13,0.13700000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/20,00773B,中信優先金融債         ,37.56,37.42,0.000000,0.139000,0.139000,除息,9999.95,0.01,37.42,37.42,0.13900000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/20,00777B,凱基AAA至A公司債      ,35.94,35.55,0.000000,0.395000,0.395000,除息,9999.95,0.01,35.55,35.55,0.39500000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/20,00778B,凱基金融債20+        ,37.26,36.85,0.000000,0.415000,0.415000,除息,9999.95,0.01,36.85,36.85,0.41500000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/20,00779B,凱基美債25+         ,32.09,31.81,0.000000,0.285000,0.285000,除息,9999.95,0.01,31.81,31.81,0.28500000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/20,00781B,國泰A級科技債         ,33.34,32.92,0.000000,0.420000,0.420000,除息,9999.95,0.01,32.92,32.92,0.42000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/20,00787B,元大10年IG醫療債      ,35.59,35.04,0.000000,0.550000,0.550000,除息,9999.95,0.01,35.04,35.04,0.55000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/20,00862B,中信投資級公司債        ,33.94,33.51,0.000000,0.428000,0.428000,除息,9999.95,0.01,33.51,33.51,0.42800000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/20,00863B,中信全球電信債         ,34.80,34.40,0.000000,0.400000,0.400000,除息,9999.95,0.01,34.40,34.40,0.40000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/20,00883B,中信ESG投資級債       ,33.15,32.77,0.000000,0.383000,0.383000,除息,9999.95,0.01,32.77,32.77,0.38300000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/20,00933B,國泰10Y+金融債       ,17.05,16.98,0.000000,0.072000,0.072000,除息,9999.95,0.01,16.98,16.98,0.07200000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/20,3680,家登              ,420.00,416.50,0.000000,3.500000,3.500000,除息,458.00,375.00,416.50,416.50,3.50000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/20,4413,飛寶企業            ,18.50,18.10,0.000000,0.400000,0.400000,除息,19.90,16.30,18.10,18.10,0.40000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/20,5443,均豪              ,64.00,62.80,0.000000,1.200000,1.200000,除息,69.00,56.60,62.80,62.80,1.20000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/20,6242,立康              ,52.00,49.50,0.000000,2.500000,2.500000,除息,54.40,44.55,49.50,49.50,2.50000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/20,6266,泰詠              ,35.80,32.73,1.603594,1.470000,3.073594,除權息,36.00,29.50,32.75,32.73,1.47000000,49.00000396,0,0.00,0,0,0,0.00000000
113/06/20,6292,迅德              ,80.90,76.70,0.000000,4.200000,4.200000,除息,84.30,69.10,76.70,76.70,4.20000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/20,6804,明係              ,48.60,46.00,0.000000,2.600000,2.600000,除息,50.60,41.40,46.00,46.00,2.60000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/21,00853B,統一美債10年Aa-A     ,29.95,29.62,0.000000,0.330000,0.330000,除息,9999.95,0.01,29.62,29.62,0.33000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/21,4747,強生              ,73.80,72.30,0.000000,1.498397,1.498397,除息,79.50,65.10,72.30,72.30,1.49839697,0.00000000,0,0.00,0,0,0,0.00000000
113/06/21,5904,寶雅              ,526.00,500.00,4.999997,21.000000,25.999997,除權息,550.00,450.00,500.00,500.00,21.00000000,9.99999314,0,0.00,0,0,0,0.00000000
113/06/21,6023,元大期             ,93.40,88.40,0.000000,5.000000,5.000000,除息,97.20,79.60,88.40,88.40,5.00000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/21,6167,久正              ,16.20,15.70,0.000000,0.500000,0.500000,除息,17.25,14.15,15.70,15.70,0.50000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/21,6207,雷科              ,76.00,74.50,0.000000,1.500000,1.500000,除息,81.90,67.10,74.50,74.50,1.50000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/24,00764B,群益25年美債         ,31.61,31.34,0.000000,0.266000,0.266000,除息,9999.95,0.01,31.34,31.34,0.26600000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/24,00792B,群益A級公司債         ,34.42,33.97,0.000000,0.448000,0.448000,除息,9999.95,0.01,33.97,33.97,0.44800000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/24,00793B,群益AAA-A醫療債      ,33.43,33.00,0.000000,0.427000,0.427000,除息,9999.95,0.01,33.00,33.00,0.42700000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/24,00859B,群益0-1年美債        ,42.53,42.16,0.000000,0.375000,0.375000,除息,9999.95,0.01,42.16,42.16,0.37500000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/24,00937B,群益ESG投等債20+     ,15.97,15.89,0.000000,0.084000,0.084000,除息,9999.95,0.01,15.89,15.89,0.08400000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/24,2643,捷迅              ,87.60,82.60,0.000000,5.000000,5.000000,除息,90.80,74.40,82.60,82.60,5.00000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/24,3169,亞信              ,134.00,130.50,0.000000,3.500000,3.500000,除息,143.50,117.50,130.50,130.50,3.50000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/24,3374,精材              ,179.00,177.00,0.000000,2.000000,2.000000,除息,194.50,159.50,177.00,177.00,2.00000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/24,3709,鑫聯大投控           ,27.95,27.15,0.000000,0.800000,0.800000,除息,29.85,24.45,27.15,27.15,0.80000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/24,4183,福永生技            ,26.90,26.10,0.000000,0.800000,0.800000,除息,28.70,23.50,26.10,26.10,0.80000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/24,5601,台聯櫃             ,36.30,35.92,0.000000,0.385000,0.385000,除息,39.50,32.35,35.90,35.92,0.38500000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/24,6548,長科*             ,40.00,39.59,0.000000,0.410000,0.410000,除息,43.50,35.65,39.60,39.59,0.41000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/24,6651,全宇昕             ,76.40,72.40,0.000000,4.000000,4.000000,除息,79.60,65.20,72.40,72.40,4.00000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/24,6870,騰雲              ,193.50,190.20,0.000000,3.300000,3.300000,除息,209.00,171.50,190.00,190.20,3.30000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/25,00836B,永豐10年A公司債       ,31.44,31.10,0.000000,0.340000,0.340000,除息,9999.95,0.01,31.10,31.10,0.34000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/25,00856B,永豐1-3年美公債       ,39.01,38.56,0.000000,0.450000,0.450000,除息,9999.95,0.01,38.56,38.56,0.45000000,0.00000000,0,0.00,0,0,0,0.00000000
