股票代碼,公司簡稱,當月營收(千元),上月營收(千元),去年當月營收(千元),上月比較增減(%),去年同月增減(%),當月累計營收(千元),去年累計營收(千元),前期比較增減(%),備註
6164,華興,"96,404","67,899","69,149",41.98,39.41,"378,672","313,654",20.72,無
6278,台表科,"3,875,629","3,977,993","4,114,272",-2.57,-5.8,"18,782,537","17,443,204",7.67,無
6443,元晶,"453,448","393,494","796,607",15.23,-43.07,"2,014,548","3,847,818",-47.64,營收變化主要受市場淡旺季影響所致
8215,明基材,"1,428,320","1,434,874","1,537,311",-0.45,-7.08,"7,456,202","7,100,687",5.0,無
2345,智邦,"8,776,621","7,016,810","6,472,848",25.07,35.59,"34,641,143","32,480,909",6.65,無
2419,仲琦,"610,970","854,792","984,392",-28.52,-37.93,"3,575,548","4,827,543",-25.93,無
2439,美律,"3,512,244","3,513,164","3,149,657",-0.02,11.51,"15,376,855","12,856,053",19.6,無
2455,全新,"291,927","286,755","220,638",1.8,32.31,"1,416,076","772,287",83.36,客戶需求增加
3380,明泰,"1,784,703","1,828,179","2,455,804",-2.37,-27.32,"8,793,082","12,879,212",-31.72,無
3669,圓展,"249,194","248,424","227,561",0.3,9.5,"1,089,253","991,673",9.83,無
2313,華通,"5,702,360","5,857,679","4,736,764",-2.65,20.38,"27,116,875","22,854,472",18.65,無
2383,台光電,"5,141,963","5,060,127","3,150,805",1.61,63.19,"23,104,564","13,313,724",73.53,受惠於AI伺服器成長力道
2402,毅嘉,"777,840","750,949","702,948",3.58,10.65,"3,528,230","3,300,700",6.89,無
2415,錩新,"207,010","167,265","171,051",23.76,21.02,"970,188","819,453",18.39,無
2483,百容,"174,074","170,181","174,931",2.28,-0.48,"763,368","778,803",-1.98,無
3023,信邦,"2,825,462","2,820,795","2,922,842",0.16,-3.33,"13,666,544","14,347,983",-4.74,無
3042,晶技,"978,015","994,693","808,522",-1.67,20.96,"4,726,285","3,898,432",21.23,無
3321,同泰,"190,814","182,779","141,464",4.39,34.88,"793,032","593,220",33.68,無
4915,致伸,"5,113,069","5,028,895","5,531,686",1.67,-7.56,"23,790,699","25,257,980",-5.8,無
6197,佳必琪,"621,218","535,488","349,895",16.0,77.54,"2,626,652","1,772,506",48.18,本業及子公司營收成長。
6205,詮欣,"142,821","132,175","104,621",8.05,36.51,"604,639","718,133",-15.8,無
6213,聯茂,"2,654,422","2,293,291","1,716,842",15.74,54.61,"11,102,398","9,904,682",12.09,本月營收較去年同期增加主要係市場需求增加所致。
6412,群電,"2,982,319","2,608,511","3,205,035",14.33,-6.94,"13,636,844","14,239,577",-4.23,無
8039,台虹,"985,399","862,559","728,269",14.24,35.3,"3,821,206","2,748,485",39.02,自結數尚未經會計師簽證，特此說明。
8046,南電,"2,699,432","2,676,047","3,338,634",0.87,-19.14,"12,476,051","19,628,670",-36.43,無
8072,陞泰,"72,695","69,317","93,474",4.87,-22.22,"367,618","446,230",-17.61,無
8112,至上,"23,604,503","21,393,155","12,344,701",10.33,91.21,"100,819,961","49,611,092",103.22,主要係伺服器市場需求大幅增長及手機客戶持續拉貨，致使本期營收較去年同期成長。
6112,邁達特,"1,403,106","1,491,272","1,583,009",-5.91,-11.36,"7,643,865","7,844,013",-2.55,"112/10/2 Brainstorm成為子公司，共同控制企業重編去年合併營收。本月較去年5月不含Brainstorm增加219,916千元及18.59%。"
2317,鴻海,"550,157,241","510,896,397","450,725,682",7.68,22.06,"2,383,216,352","2,342,636,455",1.73,無
2354,鴻準,"4,219,732","3,302,837","5,239,651",27.76,-19.46,"16,362,645","34,006,985",-51.88,現行機種因上市時間已久，受市場販售狀況影響2024年出售較少。2023年因後疫情效應影響，出貨量仍高。
3030,德律,"538,326","671,922","345,380",-19.88,55.86,"2,720,902","1,792,888",51.76,本月較去年同期增加56%，主因手機、電腦及半導體產業需求增加;累計較去年同期增加52%，主因手機、電腦及伺服器產業需求增加
3305,昇貿,"715,751","636,312","524,390",12.48,36.49,"2,851,458","2,501,568",13.98,無
6215,和椿,"130,189","92,927","92,590",40.09,40.6,"513,135","440,147",16.58,無
6438,迅得,"400,188","432,873","512,432",-7.55,-21.9,"2,106,362","2,654,391",-20.64,無
2511,太子,"834,840","751,614","630,994",11.07,32.3,"3,292,407","3,592,515",-8.35,無
2633,台灣高鐵,"4,311,959","4,409,676","3,995,200",-2.21,7.92,"22,099,907","20,438,195",8.13,無
2642,宅配通,"331,443","324,673","356,755",2.08,-7.09,"1,677,583","1,681,973",-0.26,無
2727,王品,"1,903,246","1,636,740","1,855,946",16.28,2.54,"9,158,154","9,221,443",-0.68,無
8940,新天地,"99,642","81,607","110,478",22.09,-9.8,"808,949","639,517",26.49,無
2809,京城銀,"694,018","547,125","981,718",26.84,-29.3,"4,233,238","3,707,370",14.18,無
1342,八貫,"238,607","179,241","178,409",33.12,33.74,"1,038,131","1,035,701",0.23,無
1435,中福,"1,023","1,025",750,-0.19,36.4,"4,698","3,726",26.08,無
1437,勤益控,"69,641","62,359","55,198",11.67,26.16,"309,388","283,007",9.32,無
2348,海悅,"524,110","512,361","433,065",2.29,21.02,"3,314,371","1,443,250",129.64,本年度增減百分比達50％以上，係因個案銷售狀況良好及認列建案營建收入及出售道路地收入
2358,廷鑫,0,"43,904","57,927",-100.0,-100.0,"134,431","598,414",-77.53,亞鑫不列入合併營收
2443,昶虹,"2,156","1,750",867,23.2,148.67,"10,148","4,429",129.12,因公司業務整理中，目前正逐步導入新事業，營業收入因而產生差異
9938,百和,"1,322,479","1,233,993","957,855",7.17,38.06,"6,111,665","4,784,037",27.75,無
1256,鮮活果汁-KY,"343,021","438,938","452,538",-21.85,-24.2,"1,653,089","1,755,830",-5.85,無
1590,亞德客-KY,"2,799,703","3,112,482","2,772,214",-10.04,0.99,"13,117,777","12,365,664",6.08,本月營業收入換算匯率為4.4642820;本年累計營業收入換算匯率為4.4085307。
6456,GIS-KY,"4,996,146","5,581,866","7,040,289",-10.49,-29.03,"25,685,554","28,511,366",-9.91,無
4927,泰鼎-KY,"1,037,299","1,076,109","1,130,481",-3.6,-8.24,"4,928,263","5,515,973",-10.65,5月份自結數
6672,騰輝電子-KY,"399,190","360,869","418,901",10.61,-4.7,"1,834,663","2,012,404",-8.83,無
6781,AES-KY,"711,107","745,409","801,707",-4.6,-11.3,"3,763,575","4,538,782",-17.07,無
3665,貿聯-KY,"4,319,672","4,501,705","4,420,933",-4.04,-2.29,"21,185,273","21,394,544",-0.97,無
5225,東科-KY,"1,001,461","1,053,832","916,595",-4.96,9.25,"4,818,304","3,800,895",26.76,無
2637,慧洋-KY,"1,895,842","1,810,476","1,647,911",4.71,15.04,"8,392,327","6,788,555",23.62,無
6641,基士德-KY,"154,263","161,890","154,632",-4.71,-0.23,"722,953","671,511",7.66,無
5284,jpp-KY,"148,401","165,372","188,746",-10.26,-21.37,"913,167","930,757",-1.88,無
8404,百和興業-KY,"600,912","581,689","396,521",3.3,51.54,"2,714,948","1,947,181",39.42,因新產品發酵貢獻及整體市場需求增加，故本期營業額較去年同期成長。
4420,光明,"70,545","54,568","56,451",29.27,24.96,"293,430","277,518",5.73,無
2070,精湛,"59,792","56,054","42,273",6.66,41.44,"262,466","212,699",23.39,無
8027,鈦昇,"207,252","132,306","96,326",56.64,115.15,"627,405","570,822",9.91,因客戶擴產，設備需求較去年同期上升。
8083,瑞穎,"156,896","168,792","90,217",-7.04,73.90,"741,268","394,803",87.75,訂單回流
1777,生泰,"115,111","98,309","99,975",17.09,15.13,"483,202","437,584",10.42,無
4116,明基醫,"388,653","385,274","390,834",0.87,-0.55,"1,831,076","1,796,293",1.93,無
4126,太醫,"191,071","175,466","209,226",8.89,-8.67,"930,522","999,563",-6.90,無
4128,中天,"137,665","143,545","118,371",-4.09,16.29,"693,695","640,179",8.35,無
4153,鈺緯,"66,804","80,439","76,362",-16.95,-12.51,"369,631","390,434",-5.32,無
4161,聿新科,"80,255","66,034","69,468",21.53,15.52,"366,103","278,871",31.28,無
4163,鐿鈦,"230,946","215,439","190,281",7.19,21.37,"1,049,510","1,060,094",-0.99,無
4735,豪展,"66,390","93,251","79,386",-28.80,-16.37,"354,754","432,472",-17.97,無
4743,合一,"7,413","11,807","6,029",-37.21,22.95,"45,030","34,150",31.85,無
4911,德英,"20,094","19,120","14,994",5.09,34.01,"94,617","69,973",35.21,公司行銷團隊建置中
6492,生華科,83,83,83,0.00,0.00,416,416,0.00,無
6523,達爾膚,"72,444","71,157","78,245",1.80,-7.41,"492,828","399,064",23.49,無
6712,長聖,"60,120","56,032","54,022",7.29,11.28,"279,630","219,518",27.38,無
6785,昱展新藥,0,0,0,無,無,0,0,無,無
6841,長佳智能,"37,748","24,937","4,961",51.37,660.89,"115,561","21,701",432.51,主要由於專案收入增加
8432,東生華,"90,742","75,277","54,992",20.54,65.00,"366,510","248,026",47.77,於民國113年4月9日取得高峰藥品材料股份有限公司及高峰生技股份有限公司各51%已發行流通在外普通股，係以合併營業收入申報.
8436,大江,"711,249","664,623","663,820",7.01,7.14,"2,887,793","3,149,931",-8.32,無
2063,世鎧,"83,687","97,450","147,642",-14.12,-43.31,"474,815","590,501",-19.59,無
2065,世豐,"213,208","212,607","171,239",0.28,24.50,"1,007,255","1,039,200",-3.07,無
5015,華祺,"143,943","111,535","142,685",29.05,0.88,"600,609","644,288",-6.77,無
3105,穩懋,"1,653,217","1,642,260","1,364,865",0.66,21.12,"7,737,878","5,297,328",46.07,無
3122,笙泉,"32,201","30,330","29,145",6.16,10.48,"141,813","132,368",7.13,無
3141,晶宏,"124,966","145,319","132,418",-14.00,-5.62,"608,264","842,106",-27.76,無
3228,金麗科,"69,412","35,623","20,285",94.85,242.18,"214,694","126,230",70.08,113年5月主係除銷貨外，另有依合約完成度認列之設計收入，故增加比率高。
3265,台星科,"351,319","343,188","290,405",2.36,20.97,"1,695,174","1,436,288",18.02,無
3529,力旺,"283,455","487,655","254,958",-41.87,11.17,"1,573,874","1,278,811",23.07,無
3556,禾瑞亞,"94,919","82,991","103,120",14.37,-7.95,"446,303","574,850",-22.36,無
3675,德微,"205,425","200,573","151,182",2.41,35.87,"950,916","734,469",29.46,無
4945,陞達科技,"29,406","31,986","38,523",-8.06,-23.66,"164,296","141,949",15.74,無
5236,凌陽創新,"131,381","140,143","134,752",-6.25,-2.50,"635,624","585,316",8.59,無
