股票代碼,公司簡稱,財務結構-負債佔資產比率(%),財務結構-長期資金佔不動產、廠房及設備比率(%),償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元),現金流量-現金流量比率(%),現金流量-現金流量允當比率(%),現金流量-現金再投資比率(%)
8917,欣泰,52.43,154.17,205.04,199.58,"1,684.00",9.75,37.43,30.36,12.02,0.91,0.46,6.95,14.48,29.50,15.00,2.38,58.71,95.25,5.79
8921,沈氏,20.41,281.94,231.07,193.42,-1.56,4.62,79.00,7.33,49.79,1.72,53.55,-0.41,-0.73,-1.33,-1.06,-0.10,19.60,85.12,0.52
8923,時報,47.41,"88,238.19",157.07,115.75,35.91,2.89,126.29,1.62,225.30,678.29,0.49,3.18,5.96,10.57,6.30,0.88,17.57,149.93,6.24
8924,大田,26.70,491.57,348.15,288.74,49.50,4.19,87.11,4.74,77.00,5.79,0.76,7.20,9.74,64.75,9.31,4.85,93.74,123.03,0.45
8927,北基,72.13,66.75,58.52,24.12,1.96,105.03,3.47,2.45,148.97,0.76,0.34,1.13,2.45,5.36,1.46,0.35,0.05,7.63,-1.48
8928,鉅明,69.57,99.58,91.95,60.61,-0.53,2.36,154.66,3.56,102.52,1.80,0.80,-0.48,-3.40,-7.32,-1.40,-0.71,23.38,49.32,11.67
8929,富堡,32.52,453.81,278.53,250.33,無,6.41,56.94,5.47,66.72,3.78,0.56,-2.17,-3.64,-7.58,-4.39,-0.46,7.70,107.56,1.52
8930,青鋼,34.73,199.17,437.28,350.01,39.50,4.53,80.57,4.27,85.48,1.52,0.65,11.16,18.09,36.72,16.72,3.12,105.17,65.12,11.11
8931,大汽電,52.47,124.67,84.09,57.40,12.23,8.90,41.01,8.68,42.05,0.92,0.60,6.84,13.03,28.85,10.43,2.32,71.74,91.46,6.97
8932,智通,42.50,179.32,142.89,123.63,"1,375.53",4.27,85.48,5.42,67.34,1.79,0.59,6.37,10.69,23.10,9.67,1.33,13.46,38.52,4.73
8933,愛地雅,59.65,412.63,138.48,44.74,-205.89,3.87,94.31,1.26,289.68,5.93,0.68,-3.69,-12.81,-10.03,-7.96,-0.97,8.03,-26.13,7.76
8935,邦泰,43.98,157.63,134.52,67.30,-2.45,3.11,117.36,1.70,214.70,0.84,0.36,-3.28,-8.21,-7.17,-11.76,-0.75,17.05,70.81,4.91
