股票代碼,公司簡稱,償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元)
3679,新至陞,209.54,194.64,13.00,2.95,123.72,6.45,56.58,2.41,0.40,6.10,10.71,106.41,13.88,7.77
3686,達能,"10,335.80","10,325.93",-574.00,0.99,368.68,無,無,323.72,0.06,-4.03,-4.08,-3.84,-71.64,-0.38
3694,海華,180.71,121.35,27.41,5.33,68.48,4.30,84.88,9.79,1.71,6.16,11.97,22.12,3.50,2.18
3701,大眾控,256.16,169.71,"1,943.00",4.47,81.65,3.18,114.77,23.12,1.20,5.99,9.95,33.27,4.72,1.49
3702,大聯大,133.00,81.27,2.68,5.31,68.73,5.87,62.18,41.78,2.13,4.12,9.85,54.72,1.21,4.59
3703,欣陸,132.71,57.45,2.90,11.59,31.49,1.05,347.61,3.21,0.40,2.54,4.42,20.78,4.35,2.09
3704,合勤控,220.88,171.14,18.80,3.94,92.63,4.08,89.46,16.36,1.24,5.83,12.83,38.02,4.46,3.38
3705,永信,265.33,145.10,"3,324.44",4.12,88.59,1.48,246.62,1.94,0.60,7.70,11.16,42.69,12.40,3.11
3706,神達,171.93,121.93,17.47,5.99,60.93,3.41,107.03,4.74,0.40,2.17,2.92,16.58,5.02,1.48
3708,上緯投控,171.05,155.79,24.71,1.82,200.54,7.35,49.65,1.99,0.51,9.26,15.43,146.93,17.57,12.88
3711,日月光投控,117.54,87.47,7.83,5.43,67.21,6.65,54.88,2.18,0.85,5.61,10.52,97.14,5.77,7.18
3712,永崴投控,163.84,121.95,6.52,10.44,34.96,11.41,31.98,3.14,0.45,2.75,5.69,44.75,5.13,2.31
3714,富采,280.86,235.77,-37.47,2.37,154.00,4.68,77.99,1.07,0.33,-10.45,-13.84,-98.08,-32.83,-9.02
3715,定穎投控,109.69,83.00,4.57,3.40,107.35,4.56,80.04,1.51,0.74,6.40,15.78,52.78,6.56,3.61
4104,佳醫,160.08,138.06,67.52,4.48,81.47,5.44,67.09,10.74,0.47,5.42,8.7,73.51,11.20,4.8
4106,雃博,246.41,182.85,15.80,5.23,69.78,2.64,138.25,3.65,0.82,5.08,6.66,20.80,5.75,1.51
4108,懷特,"2,613.29","2,270.83","-21,454.36",5.23,69.78,0.50,730.00,0.69,0.07,-3.13,-3.26,-3.73,-45.63,-0.24
4119,旭富,342.74,245.25,58.90,5.01,72.85,1.64,222.56,0.34,0.21,5.15,6.75,33.88,24.48,2.7
4133,亞諾法,"1,469.32",789.97,"34,266.90",6.73,54.23,0.24,"1,520.83",1.49,0.28,3.21,3.39,8.01,11.43,0.72
4137,麗豐-KY,187.04,172.02,"1,033.18","1,449.73",0.25,1.63,223.92,3.82,0.51,13.01,21.08,181.83,22.79,13.03
4142,國光生,248.51,204.38,-9.94,1.92,190.10,1.59,229.55,0.50,0.19,-6.89,-11.03,-14.90,-36.18,-1.52
4148,全宇生技-KY,356.65,267.19,65.68,4.87,74.94,2.53,144.26,4.87,0.73,3.66,6.03,40.23,4.93,2.18
4155,訊映,227.86,148.55,189.00,2.55,143.13,2.44,149.59,1.38,0.39,0.18,-0.08,0.55,-0.13,0.02
4164,承業醫,303.76,220.04,555.18,3.15,115.87,2.95,123.72,0.66,0.29,3.96,6.45,33.62,10.97,2.55
4190,佐登-KY,52.67,41.32,1.72,17.26,21.14,2.55,143.13,0.87,0.37,0.61,-0.01,7.30,-0.01,0.0
4306,炎洲,151.61,60.79,3.71,5.11,71.42,1.13,323.00,1.58,0.44,3.31,6.98,15.12,6.47,1.3
4414,如興,92.12,48.46,-23.53,4.66,78.32,3.39,107.66,5.32,1.00,-1.32,-12.7,-6.40,-4.13,-0.66
4426,利勤,131.33,100.22,-0.26,5.81,62.82,4.27,85.48,0.44,0.27,-0.18,-1.57,-2.48,-3.25,-0.24
4438,廣越,319.69,211.90,10.31,10.56,34.56,3.77,96.81,5.10,1.03,6.26,9.18,115.12,5.46,7.1
4439,冠星-KY,174.64,112.82,44.37,7.31,49.93,4.51,80.93,3.21,1.12,8.99,13.2,136.75,7.87,10.82
4440,宜新實業,139.68,85.29,4.65,6.13,59.54,4.08,89.46,0.64,0.44,2.53,3.27,7.75,4.55,0.67
