股票代碼,公司簡稱,財務結構-負債佔資產比率(%),財務結構-長期資金佔不動產、廠房及設備比率(%),償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元),現金流量-現金流量比率(%),現金流量-現金流量允當比率(%),現金流量-現金再投資比率(%)
2059,川湖,20.13,576.73,745.16,696.85,113.88,3.34,109.28,2.31,158.00,1.80,0.28,13.70,16.86,359.47,46.92,28.38,150.76,149.53,6.93
2062,橋椿,42.77,172.04,171.43,125.73,639.58,3.06,119.28,3.44,106.10,1.32,0.60,2.92,4.30,17.63,4.16,1.57,37.89,147.04,6.80
2069,運錩,56.47,112.75,104.23,38.10,-0.09,13.15,27.75,4.28,85.28,2.70,1.34,-0.01,-3.77,-12.10,-1.25,-0.90,-2.38,30.75,-3.73
2101,南港,75.11,315.38,160.19,32.73,2.12,5.78,63.14,0.31,"1,177.41",1.03,0.20,0.70,1.30,2.38,1.71,0.16,-15.08,29.31,0.00
2102,泰豐,47.80,298.28,171.40,156.63,"-1,645.65",2.00,182.50,1.97,185.27,0.09,0.04,-13.86,-30.96,-36.52,-361.47,-3.76,-61.31,-19.06,-3.16
2103,台橡,45.24,262.27,164.28,97.46,506.79,7.61,47.96,3.98,91.70,3.07,0.84,3.34,4.66,17.25,3.08,0.82,26.04,84.55,3.94
2104,國際中橡,37.62,230.02,183.12,159.15,0.83,4.63,78.83,5.49,66.48,0.93,0.31,4.68,-1.52,-1.16,-3.03,-0.51,23.10,99.22,5.04
2105,正新,39.26,175.80,289.73,199.87,983.00,7.22,50.55,3.80,96.05,1.35,0.67,5.67,8.45,32.41,7.48,2.22,107.23,182.10,6.39
2106,建大,55.24,200.93,235.17,137.58,3.41,8.40,43.45,2.52,144.84,2.20,0.79,2.91,4.52,13.67,2.56,0.92,55.17,75.02,10.50
2107,厚生,13.18,"1,690.87",582.89,399.47,23.49,9.21,39.63,0.31,"1,177.41",1.76,0.10,3.85,4.28,19.51,38.16,1.61,41.63,206.53,2.00
2108,南帝,10.92,599.82,978.75,854.31,255.76,10.90,33.48,4.44,82.20,3.30,0.51,5.51,6.19,25.74,10.59,1.45,96.37,153.33,1.23
2109,華豐,36.66,234.97,276.82,212.05,16.04,6.84,53.36,3.50,104.28,1.54,0.58,7.16,10.83,28.05,11.37,1.51,33.64,143.06,5.25
2114,鑫永銓,18.82,260.90,648.90,586.42,350.71,8.34,43.76,3.85,94.80,1.20,0.42,12.76,15.40,74.79,30.11,6.02,128.70,96.83,1.27
2115,六暉-KY,36.01,184.95,245.71,187.50,8.68,3.74,97.59,3.73,97.85,1.21,0.54,4.12,5.77,32.77,6.75,1.76,28.25,57.19,2.75
2201,裕隆,77.11,255.36,105.31,100.20,18.93,0.32,"1,140.62",4.59,79.52,1.97,0.22,2.40,10.53,100.86,10.34,4.63,-4.75,-224.52,-11.98
2204,中華,21.58,528.87,151.45,92.06,"102,336.43",13.83,26.39,7.43,49.12,5.53,0.78,12.00,15.68,123.08,15.39,10.36,44.74,50.73,3.12
2206,三陽工業,59.55,290.79,148.93,92.01,19.40,19.53,18.68,4.95,73.73,4.53,1.08,11.70,29.20,101.26,10.34,7.95,34.26,73.65,8.86
2207,和泰車,79.33,222.11,103.88,96.24,56.33,0.73,500.00,12.44,29.34,3.47,0.49,5.95,30.74,529.50,11.89,41.03,0.00,20.66,-0.68
2208,台船,83.02,139.09,100.15,43.39,-9.94,13.75,26.54,4.17,87.52,1.61,0.49,-8.74,-49.14,-43.20,-18.86,-4.32,40.62,91.15,22.23
2211,長榮鋼,22.59,790.74,285.38,203.49,96.25,10.42,35.02,2.05,178.04,3.03,0.33,12.86,16.41,116.47,38.90,8.80,81.74,47.52,4.44
2227,裕日車,21.56,"2,104.70",417.88,400.94,196.48,93.43,3.90,無,無,23.76,1.11,4.95,6.28,49.04,4.44,3.87,52.20,-5.32,-4.60
2228,劍麟,28.88,270.10,353.50,260.56,70.70,4.09,89.24,3.39,107.66,2.66,0.80,8.52,12.05,93.04,10.50,6.78,114.34,89.95,15.77
2231,為升,48.93,306.29,250.57,185.29,9.02,2.42,150.82,1.96,186.22,1.89,0.44,3.64,6.11,32.77,7.23,3.15,-24.59,42.16,-11.98
2233,宇隆,30.64,215.89,299.12,215.77,101.13,4.52,80.75,2.55,143.13,1.92,0.65,10.48,15.07,94.75,15.87,8.86,90.93,93.98,8.91
2236,百達-KY,36.72,904.74,383.61,281.15,11.36,3.42,106.72,2.30,158.69,8.04,0.80,6.15,9.33,36.23,6.97,2.99,17.09,241.21,3.31
2239,英利-KY,54.48,179.48,128.69,89.24,2.40,3.79,96.30,3.52,103.69,2.04,0.65,1.30,1.51,36.64,1.01,1.41,10.01,91.50,5.55
2241,艾姆勒,39.34,186.73,364.05,251.79,-10.43,2.92,125.00,2.29,159.38,0.58,0.30,-7.86,-15.52,-22.69,-27.35,-2.47,13.35,-21.38,1.70
2243,宏旭-KY,78.83,180.77,108.65,40.73,-2.29,2.54,143.70,0.93,392.47,3.15,0.51,-3.39,-24.68,-18.26,-8.62,-2.21,1.78,106.16,2.65
2247,汎德永業,42.44,307.22,216.00,141.36,55.10,131.61,2.77,10.08,36.21,10.00,2.27,8.13,14.29,278.11,3.52,22.17,43.69,124.71,10.71
2250,IKKA-KY,54.45,304.01,177.53,148.26,16.38,3.77,96.81,6.60,55.30,4.74,1.02,3.61,7.20,69.11,3.27,4.07,30.45,156.57,7.05
2254,巨鎧精密-創,58.73,101.32,81.90,59.38,-1.24,16.20,22.53,3.37,108.30,0.34,0.24,-1.17,-5.43,9.26,-8.65,-0.78,0.32,50.38,-0.91
2258,鴻華先進-創,9.76,"1,694.77",763.06,694.49,無,8.23,44.34,2.02,180.69,0.96,0.06,-10.88,-11.90,-12.59,-184.60,-1.20,無,無,無
2301,光寶科,54.98,494.61,158.79,130.91,13.23,4.13,88.37,4.00,91.25,7.92,0.76,8.12,17.58,78.05,9.84,6.36,27.82,130.84,12.10
2302,麗正,23.93,403.05,171.76,142.44,213.19,5.75,63.47,3.31,110.27,1.50,0.32,3.89,4.79,6.40,12.12,0.52,29.54,302.31,0.66
2303,聯電,35.70,169.29,218.95,179.68,48.81,6.69,54.55,4.34,84.10,1.09,0.41,11.47,17.57,56.24,27.61,4.93,86.86,108.72,3.00
2305,全友,22.13,665.44,546.75,478.01,900.00,9.52,38.34,2.07,176.32,1.41,0.20,0.94,1.00,1.92,3.87,0.03,49.17,317.78,3.85
2308,台達電,46.97,293.97,206.18,143.34,"4,254.90",4.78,76.35,3.03,120.46,4.35,0.91,7.77,17.30,187.26,8.32,12.86,56.38,87.67,12.91
2312,金寶,70.39,233.21,133.47,97.46,1.46,4.36,83.71,6.16,59.25,5.96,1.32,2.35,2.64,7.75,0.52,0.51,28.92,46.16,18.23
2313,華通,50.38,155.73,175.20,139.56,"1,077.79",4.02,90.79,6.29,58.02,1.88,0.84,5.81,10.69,44.23,6.21,3.49,43.48,108.30,13.19
2314,台揚,65.65,462.63,125.63,60.98,-5.66,4.10,89.02,1.34,272.38,5.43,0.56,-8.96,-31.30,-21.98,-19.48,-2.60,-7.03,12.70,-7.91
2316,楠梓電,37.93,472.18,176.87,146.86,18.80,3.65,100.00,4.09,89.24,1.40,0.26,6.40,9.87,66.49,23.77,4.61,2.34,26.97,-0.10
2317,鴻海,57.20,515.39,159.01,119.78,3.99,6.16,59.25,6.72,54.31,16.29,1.53,5.12,9.28,138.66,2.51,10.25,23.34,76.78,14.63
2321,東訊,66.81,703.91,102.92,85.68,34.96,4.57,79.86,2.76,132.24,8.44,0.49,0.66,-4.30,-4.76,-2.51,-2.60,7.27,99.38,5.91
2323,中環,26.18,567.11,440.57,352.75,19.52,5.16,70.73,1.62,225.30,1.79,0.30,7.51,9.86,16.56,23.82,1.61,21.08,-58.98,2.12
2324,仁寶,69.60,549.30,133.06,98.18,3.35,4.92,74.18,8.75,41.71,32.73,2.13,2.92,7.02,26.98,0.96,1.76,10.70,115.31,12.84
2327,國巨,58.77,319.48,113.49,87.89,12.25,5.04,72.42,2.41,151.45,1.69,0.35,6.28,13.60,576.61,16.32,41.80,26.84,105.06,12.80
2328,廣宇,37.09,544.78,206.22,160.65,31.49,3.64,100.27,5.66,64.48,9.32,1.03,6.18,9.89,35.53,5.81,2.42,51.65,110.12,18.24
2329,華泰,38.95,250.47,185.05,155.47,62.07,4.46,81.83,7.82,46.67,3.24,0.94,10.79,17.90,30.16,11.27,2.66,46.12,190.84,6.36
2330,台積電,37.04,150.72,240.16,212.46,54.08,9.96,36.64,4.18,87.32,0.75,0.41,16.14,26.18,377.59,38.75,32.34,135.94,100.63,10.84
2331,精英,47.62,656.76,173.58,153.84,69.20,6.49,56.24,5.91,61.75,9.31,0.85,4.43,8.59,23.06,5.14,1.82,17.50,169.09,6.94
2332,友訊,30.23,506.44,307.11,216.43,27.39,4.77,76.51,2.65,137.73,9.45,1.00,4.52,5.37,14.28,3.56,0.95,28.36,19.47,5.95
2337,旺宏,37.89,165.21,310.05,163.64,-6.23,7.08,51.55,1.48,246.62,0.70,0.34,-1.84,-3.37,-10.15,-6.15,-0.92,-5.69,74.16,-2.24
2338,光罩,75.87,130.77,68.54,56.49,2.52,4.82,75.72,9.89,36.90,0.94,0.37,2.06,3.46,17.38,2.28,1.75,9.47,11.85,2.34
2340,台亞,31.97,195.10,241.73,167.78,16.39,3.95,92.40,2.34,155.98,0.99,0.34,2.77,3.57,6.85,7.65,0.70,15.96,74.32,1.60
2342,茂矽,30.81,391.11,380.97,330.54,-20.86,5.33,68.48,3.47,105.18,2.50,0.39,-4.47,-6.99,-11.23,-11.91,-1.12,-10.34,68.71,-1.86
2344,華邦電,47.34,151.50,184.56,113.11,0.29,7.63,47.83,2.32,157.32,0.76,0.40,0.44,0.03,-1.66,0.04,-0.29,9.99,63.98,-0.11
2345,智邦,55.48,808.61,171.91,123.99,159.73,6.94,52.59,4.93,74.03,33.77,1.64,17.50,39.11,209.37,10.60,15.99,63.18,46.87,44.98
2347,聯強,65.23,965.09,163.08,108.54,618.69,4.97,73.44,6.74,54.15,39.21,1.82,4.09,10.10,63.05,1.84,4.37,14.54,8.34,10.97
2348,海悅,72.27,"51,825.02",312.43,108.60,13.05,6.10,59.83,0.35,"1,042.85",171.39,0.27,6.65,27.75,148.94,22.53,13.86,31.69,-35.31,8.92
2349,錸德,45.85,197.75,236.72,188.73,0.07,4.00,91.25,3.24,112.65,0.96,0.40,-1.31,-3.63,-2.11,-4.96,-0.44,28.70,163.37,3.06
2351,順德,41.40,174.80,211.17,92.69,15.04,5.37,67.97,2.42,150.82,2.09,0.87,6.64,11.07,54.95,7.19,4.08,55.79,84.07,6.58
2352,佳世達,65.98,255.40,126.67,80.63,4.49,5.21,70.05,4.17,87.52,5.30,1.07,3.12,6.84,32.13,2.22,1.51,15.96,57.22,10.21
2353,宏碁,61.51,"2,294.94",146.97,96.14,28.51,4.66,78.32,5.02,72.70,55.33,1.21,2.95,7.47,25.59,2.33,1.64,11.83,119.10,9.17
2354,鴻準,21.57,"3,700.69",267.45,255.72,21.57,5.18,70.46,16.04,22.75,21.00,0.52,3.16,4.13,37.81,5.78,3.01,-12.68,90.91,-5.03
2355,敬鵬,29.19,272.60,250.59,194.50,20.86,4.38,83.33,4.03,90.57,2.65,0.73,3.53,4.77,28.97,4.55,1.92,40.91,182.10,6.92
2356,英業達,74.86,237.76,113.53,77.95,2.58,5.66,64.48,8.50,42.94,17.38,2.15,4.09,10.11,20.17,1.17,1.71,6.71,43.64,0.06
2357,華碩,46.05,"1,406.85",155.49,86.41,32.88,5.22,69.92,2.52,144.84,24.37,1.01,3.88,7.36,297.45,3.71,21.44,26.37,49.49,13.80
2359,所羅門,36.76,"1,369.87",180.87,105.41,"3,908.22",4.49,81.29,1.94,188.14,9.71,0.49,6.57,10.15,37.24,13.22,3.11,-3.49,64.01,-5.49
2360,致茂,32.75,349.57,187.34,128.32,86.16,3.26,111.96,1.56,233.97,2.63,0.55,11.97,18.37,121.45,21.31,9.45,40.49,76.49,-0.33
