股票代碼,公司簡稱,財務結構-負債佔資產比率(%),財務結構-長期資金佔不動產、廠房及設備比率(%),償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元),現金流量-現金流量比率(%),現金流量-現金流量允當比率(%),現金流量-現金再投資比率(%)
6625,必應,48.40,301.58,156.19,143.02,186.00,9.62,37.94,無,無,9.64,1.81,20.68,40.91,75.13,11.38,6.68,57.16,147.69,40.20
6641,基士德-KY,39.40,263.32,156.26,133.40,12.28,4.07,89.68,8.08,45.17,3.25,0.73,1.69,2.57,11.80,2.15,1.28,-0.44,83.28,-7.75
6645,金萬林-創,40.43,162.70,167.94,119.72,-43.11,3.03,120.46,2.80,130.35,1.02,0.46,-11.03,-17.66,-25.48,-24.69,-2.22,-23.82,15.02,-8.67
6655,科定,67.25,102.14,89.02,25.93,607.85,8.15,44.78,1.18,309.32,0.53,0.37,4.69,12.28,37.90,10.53,3.52,36.56,96.32,4.39
6657,華安,2.97,"1,173.11","3,370.71","3,286.64",無,5.82,62.71,3.00,121.66,0.10,0.01,-35.65,-37.02,-34.25,"-3,637.64",-3.62,無,無,無
6658,聯策,47.38,314.29,216.03,180.36,9.25,2.32,157.32,5.50,66.36,2.89,0.60,1.72,2.99,13.64,2.53,0.99,0.36,39.30,-3.43
6666,羅麗芬-KY,23.21,226.98,261.48,242.96,39.79,253.44,1.44,5.32,68.60,1.28,0.46,4.13,5.28,24.04,8.80,1.86,33.85,36.43,4.78
6668,中揚光,48.14,128.94,130.50,113.14,-8.88,1.87,195.18,2.09,174.64,0.49,0.24,-6.42,-14.74,-30.19,-29.13,-3.24,4.67,41.11,1.58
6669,緯穎,52.46,930.58,217.01,133.44,17.20,16.05,22.74,6.62,55.13,62.17,2.72,14.41,29.73,883.30,4.98,68.88,63.19,93.39,27.23
6670,復盛應用,37.85,277.98,219.54,165.39,53.65,4.79,76.20,4.87,74.94,4.84,1.14,12.18,20.19,249.56,10.43,18.18,83.16,46.49,11.74
