股票代號,公司簡稱,當盤成交價,當盤成交量,累積成交量,開盤價,最高價,最低價,昨收價,漲跌百分比
3086,華義,177.0,64.0,771.0,180.0,183.0,174.0,177.0,0.0
3088,艾訊,84.0,10.0,481.0,84.7,84.7,83.9,82.0,2.4390243902439024
3093,港建*,26.15,8.0,139.0,26.25,27.8,26.15,26.2,-0.19083969465649128
3095,及成,-,-,91,61.6000,66.0000,61.6000,60.0000,0.0
3105,穩懋,122.5,222.0,3709.0,126.5,126.5,122.0,121.5,0.823045267489712
3114,好德,26.2,2.0,57.0,26.35,26.4,25.95,26.1,0.38314176245209913
3115,富榮綱,-,-,0,-,-,-,9.4400,0.0
3118,進階,-,-,50,31.5500,32.0000,31.5000,31.7500,0.0
3122,笙泉,39.7,37.0,410.0,40.25,41.05,39.6,39.9,-0.5012531328320695
3128,昇銳,28.2,4.0,154.0,28.65,28.9,28.05,28.25,-0.1769911504424804
3131,弘塑,1690.0,2.0,1344.0,1590.0,1690.0,1590.0,1540.0,9.740259740259742
3141,晶宏,73.9,17.0,324.0,75.8,76.2,73.9,73.9,0.0
3147,大綜,119.0,36.0,578.0,119.0,121.5,116.5,114.0,4.385964912280701
3152,璟德,163.5,9.0,130.0,168.0,169.0,163.0,163.0,0.3067484662576687
3162,精確,30.15,22.0,454.0,31.2,31.55,30.15,30.5,-1.147540983606562
3163,波若威,136.5,1209.0,18386.0,143.0,146.0,136.5,139.5,-2.1505376344086025
3169,亞信,102.5,6.0,172.0,104.0,104.0,102.0,101.0,1.4851485148514851
3171,新洲,23.3,3.0,111.0,23.65,23.65,23.2,23.2,0.4310344827586268
3176,基亞,36.9,7.0,175.0,37.2,37.8,36.9,36.95,-0.13531799729365157
3178,公準,78.1,6.0,234.0,81.5,81.9,78.1,79.4,-1.6372795969773442
3188,鑫龍騰,43.1,88.0,3166.0,43.85,45.4,42.8,42.3,1.8912529550827526
3191,雲嘉南,-,-,23,18.0500,18.7000,17.9500,18.4500,0.0
3202,樺晟,14.45,19.0,687.0,14.5,15.0,14.4,14.25,1.4035087719298196
3205,佰研,38.5,10.0,142.0,37.9,38.7,37.9,37.65,2.2576361221779586
3206,志豐,49.0,22.0,442.0,48.1,49.5,48.0,46.7,4.925053533190572
3207,耀勝,137.0,25.0,447.0,138.0,141.5,136.5,134.0,2.2388059701492535
3211,順達,96.5,77.0,1794.0,96.8,98.5,96.4,94.6,2.0084566596194566
3213,茂訊,93.7,11.0,394.0,96.3,96.3,92.7,92.2,1.6268980477223427
3217,優群,143.0,16.0,726.0,145.0,146.5,142.5,140.5,1.7793594306049825
3218,大學光,235.0,8.0,295.0,237.5,239.5,233.5,231.5,1.511879049676026
3219,倚強科,42.65,5.0,128.0,43.1,44.45,42.2,41.95,1.6686531585220397
3221,台嘉碩,25.95,18.0,312.0,26.4,26.65,25.95,25.15,3.1809145129224685
3224,三顧,40.9,4.0,160.0,40.85,41.6,40.5,40.3,1.4888337468982666
3226,至寶電,50.6,5.0,11.0,50.8,50.9,50.6,49.7,1.8108651911468783
3227,原相,163.5,97.0,1701.0,165.0,166.0,162.0,159.5,2.507836990595611
3228,金麗科,268.5,11.0,360.0,263.0,268.5,263.0,244.5,9.815950920245399
3230,錦明,23.15,37.0,2014.0,23.5,24.0,22.7,23.05,0.43383947939261547
3232,昱捷,-,-,50,26.1000,26.1000,25.0000,25.0000,0.0
3234,光環,33.95,14.0,654.0,35.6,36.0,33.9,34.25,-0.8759124087591158
3236,千如,19.7,8.0,118.0,20.0,20.05,19.6,19.45,1.2853470437017995
3252,海灣,20.5,1.0,20.0,20.4,20.55,20.4,20.55,-0.24330900243309345
3259,鑫創,28.5,1.0,31.0,28.6,28.6,27.7,28.35,0.5291005291005241
3260,威剛,93.1,318.0,9654.0,96.0,96.3,92.7,88.2,5.555555555555546
3264,欣銓,63.9,307.0,2167.0,62.3,63.9,62.3,61.8,3.398058252427187
3265,台星科,99.7,40.0,631.0,101.5,102.0,99.7,98.2,1.5274949083503055
3268,海德威,23.9,1.0,51.0,24.25,24.5,23.9,23.65,1.0570824524312896
3272,東碩,26.0,5.0,63.0,26.4,26.4,25.95,25.65,1.3645224171540018
3276,宇環,15.9,1.0,84.0,16.1,16.3,15.75,15.6,1.9230769230769278
3284,太普高,49.3,1.0,564.0,49.3,49.3,48.8,44.85,9.921962095875129
3285,微端,26.35,9.0,107.0,26.5,26.95,26.05,25.95,1.5414258188824745
3287,廣寰科,35.75,54.0,412.0,36.8,37.15,35.75,35.6,0.42134831460673755
3288,點晶,24.2,3.0,29.0,24.65,24.8,24.2,24.25,-0.20618556701031218
3289,宜特,134.5,81.0,4331.0,129.0,136.0,127.0,124.0,8.46774193548387
3290,東浦,29.35,36.0,741.0,29.45,29.55,29.05,29.0,1.2068965517241428
3293,鈊象,787.0,108.0,3363.0,753.0,794.0,753.0,734.0,7.220708446866484
3294,英濟,29.6,39.0,1158.0,30.25,30.5,29.6,29.4,0.680272108843547
3297,杭特,26.1,32.0,595.0,26.3,27.0,25.7,25.3,3.162055335968382
3303,岱稜,49.6,12.0,3943.0,45.9,49.6,45.8,45.1,9.977827050997783
3306,鼎天,54.5,34.0,993.0,55.7,56.5,54.1,54.7,-0.36563071297989547
3310,佳穎,94.3,10.0,40.0,93.5,95.5,93.5,94.8,-0.5274261603375527
3313,斐成,20.2,13.0,779.0,20.35,21.1,20.05,19.8,2.0202020202020132
3317,尼克森,51.2,7.0,143.0,50.9,51.9,50.9,50.3,1.789264413518898
3322,建舜電,21.4,15.0,2981.0,20.05,21.45,20.05,19.5,9.743589743589737
3323,加百裕,23.65,12.0,234.0,23.9,23.95,23.45,23.35,1.2847965738757907
3324,雙鴻,532.0,336.0,6942.0,535.0,555.0,532.0,510.0,4.313725490196078
3325,旭品,23.85,13.0,430.0,24.0,24.6,23.8,23.7,0.6329113924050723
