股票代碼,公司簡稱,償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元)
1730,花仙子,337.79,269.53,"25,359.93",4.83,75.56,2.83,128.97,5.15,1.02,10.13,13.38,51.93,9.93,3.65
1731,美吾華,306.82,233.59,"2,286.30",5.45,66.97,1.74,209.77,1.54,0.48,6.31,8.38,15.81,13.00,1.27
1732,毛寶,283.03,219.88,-12.60,5.99,60.93,3.46,105.49,2.56,0.85,-0.89,-1.26,-0.88,-1.09,-0.14
1733,五鼎,393.02,193.14,33.12,4.33,84.29,1.54,237.01,2.26,0.70,4.96,6.4,14.10,6.90,1.16
1734,杏輝,219.86,143.63,10.07,4.46,81.83,2.37,154.00,0.93,0.48,6.17,10.79,17.06,12.04,2.24
1735,日勝化,112.67,69.07,4.69,3.01,121.26,2.81,129.89,1.74,0.70,2.84,5.02,9.26,3.17,0.76
1736,喬山,130.27,73.92,4.54,3.73,97.85,1.88,194.14,8.39,1.01,2.69,7.42,43.95,1.86,2.34
1737,臺鹽,274.85,229.89,99.27,4.91,74.33,4.87,74.94,0.90,0.41,2.66,3.28,16.45,6.37,1.5
1752,南光,119.88,58.82,31.28,5.06,72.13,1.79,203.91,1.24,0.58,5.49,8.29,21.16,9.23,1.96
1760,寶齡富錦,140.51,83.89,15.85,5.36,68.09,1.67,218.56,1.22,0.59,2.72,3.94,19.67,4.10,0.9
1762,中化生,215.02,63.34,18.15,7.58,48.15,1.21,301.65,0.98,0.42,5.76,8.09,42.99,12.69,3.42
1773,勝一,122.04,59.55,104.99,7.28,50.13,3.94,92.63,1.18,0.70,11.38,18.86,77.01,16.02,6.31
1776,展宇,308.39,226.51,5.01,3.43,106.41,2.84,128.52,3.73,0.70,2.16,2.85,6.36,2.48,0.39
1783,和康生,471.61,403.16,無,6.13,59.54,2.32,157.32,1.45,0.42,11.28,12.48,21.72,26.66,1.86
1786,科妍,692.39,621.54,"2,654.71",7.71,47.34,2.19,166.66,0.63,0.33,8.66,11.34,31.01,24.95,2.66
1789,神隆,874.71,652.99,"3,913.71",4.47,81.65,1.10,331.81,0.77,0.25,2.49,2.76,4.41,9.01,0.36
1795,美時,279.66,191.71,10.15,3.18,114.77,2.13,171.36,5.37,0.54,14.56,26.31,192.59,24.21,15.72
1802,台玻,135.59,90.00,1.45,3.63,100.55,2.74,133.21,1.09,0.50,0.59,0.05,0.99,0.05,0.01
1805,寶徠,182.43,84.91,-4.26,40.51,9.01,0.24,"1,520.83",12.24,0.10,-6.37,-16.58,-10.39,-75.67,-1.55
1806,冠軍,187.89,134.05,3.91,4.07,89.68,2.11,172.98,1.12,0.38,0.39,0.01,1.58,0.01,0.0
1808,潤隆,161.84,60.15,14.09,29.43,12.40,0.63,579.36,132.91,0.67,18.11,78.85,207.52,25.09,17.08
1809,中釉,222.65,147.14,-147.39,3.42,106.72,2.39,152.71,1.26,0.51,-0.77,-1.65,-3.66,-2.36,-0.1
1810,和成,139.48,84.20,2.28,3.94,92.63,2.01,181.59,1.41,0.46,0.62,0.33,2.19,0.45,0.06
1817,凱撒衛,383.60,194.61,53.41,7.05,51.77,2.05,178.04,2.58,0.92,8.91,11.66,42.45,9.49,3.27
1903,士紙,97.43,95.10,2.80,3.23,113.00,3.53,103.39,0.10,0.02,1.42,1.82,3.32,50.47,0.33
1904,正隆,136.88,74.61,1.84,6.39,57.12,3.81,95.80,1.08,0.60,2.38,3.16,12.10,2.21,0.83
1905,華紙,113.16,69.55,-1.96,6.04,60.43,3.79,96.30,1.32,0.59,-1.03,-3.12,-6.34,-2.65,-0.53
1906,寶隆,18.26,16.63,2.28,40.51,9.01,63.31,5.76,111.35,0.50,0.82,0.65,2.95,0.89,0.19
1907,永豐餘,131.03,87.92,341.32,5.08,71.85,5.46,66.84,1.52,0.52,2.08,2.92,15.43,2.84,1.1
1909,榮成,71.98,48.64,0.56,5.68,64.26,10.95,33.33,0.97,0.67,0.49,-4.46,-6.31,-2.21,-0.77
2002,中鋼,117.67,33.57,2.27,25.31,14.42,2.16,168.98,0.90,0.49,0.94,1.01,2.91,1.05,0.11
2006,東和鋼鐵,139.40,32.97,14.73,14.95,24.41,2.69,135.68,3.12,1.08,9.19,15.85,82.20,7.81,6.48
